id,base,palette,likes
73,#9D5353,#632626|#9D5353|#BF8B67|#DACC96,648
74,#BF8B67,#632626|#9D5353|#BF8B67|#DACC96,648
75,#DACC96,#632626|#9D5353|#BF8B67|#DACC96,648
76,#000000,#000000|#5800FF|#E900FF|#FFC600,651
77,#5800FF,#000000|#5800FF|#E900FF|#FFC600,651
78,#E900FF,#000000|#5800FF|#E900FF|#FFC600,651
79,#FFC600,#000000|#5800FF|#E900FF|#FFC600,651
80,#24A19C,#24A19C|#FAEEE7|#325288|#D96098,586
81,#FAEEE7,#24A19C|#FAEEE7|#325288|#D96098,586
82,#325288,#24A19C|#FAEEE7|#325288|#D96098,586
83,#D96098,#24A19C|#FAEEE7|#325288|#D96098,586
84,#6867AC,#6867AC|#A267AC|#CE7BB0|#FFBCD1,685
85,#A267AC,#6867AC|#A267AC|#CE7BB0|#FFBCD1,685
86,#CE7BB0,#6867AC|#A267AC|#CE7BB0|#FFBCD1,685
87,#FFBCD1,#6867AC|#A267AC|#CE7BB0|#FFBCD1,685
88,#FF008E,#FF008E|#D22779|#612897|#0C1E7F,688
89,#D22779,#FF008E|#D22779|#612897|#0C1E7F,688
90,#612897,#FF008E|#D22779|#612897|#0C1E7F,688
91,#0C1E7F,#FF008E|#D22779|#612897|#0C1E7F,688
92,#96CEB4,#96CEB4|#FFEEAD|#D9534F|#FFAD60,1176
93,#FFEEAD,#96CEB4|#FFEEAD|#D9534F|#FFAD60,1176
94,#D9534F,#96CEB4|#FFEEAD|#D9534F|#FFAD60,1176
95,#FFAD60,#96CEB4|#FFEEAD|#D9534F|#FFAD60,1176
96,#4C0027,#4C0027|#570530|#750550|#980F5A,563
97,#570530,#4C0027|#570530|#750550|#980F5A,563
98,#750550,#4C0027|#570530|#750550|#980F5A,563
99,#980F5A,#4C0027|#570530|#750550|#980F5A,563
100,#FF6363,#FF6363|#FFAB76|#FFFDA2|#BAFFB4,625
101,#FFAB76,#FF6363|#FFAB76|#FFFDA2|#BAFFB4,625
102,#FFFDA2,#FF6363|#FFAB76|#FFFDA2|#BAFFB4,625
103,#BAFFB4,#FF6363|#FFAB76|#FFFDA2|#BAFFB4,625
104,#8946A6,#8946A6|#B762C1|#EA99D5|#FFCDDD,711
105,#B762C1,#8946A6|#B762C1|#EA99D5|#FFCDDD,711
106,#EA99D5,#8946A6|#B762C1|#EA99D5|#FFCDDD,711
107,#FFCDDD,#8946A6|#B762C1|#EA99D5|#FFCDDD,711
108,#D9D7F1,#D9D7F1|#FFFDDE|#E7FBBE|#FFCBCB,1069
109,#FFFDDE,#D9D7F1|#FFFDDE|#E7FBBE|#FFCBCB,1069
110,#E7FBBE,#D9D7F1|#FFFDDE|#E7FBBE|#FFCBCB,1069
111,#FFCBCB,#D9D7F1|#FFFDDE|#E7FBBE|#FFCBCB,1069
112,#072227,#072227|#35858B|#4FBDBA|#AEFEFF,901
113,#35858B,#072227|#35858B|#4FBDBA|#AEFEFF,901
114,#4FBDBA,#072227|#35858B|#4FBDBA|#AEFEFF,901
115,#AEFEFF,#072227|#35858B|#4FBDBA|#AEFEFF,901
116,#D3DEDC,#D3DEDC|#92A9BD|#7C99AC|#FFEFEF,642
117,#92A9BD,#D3DEDC|#92A9BD|#7C99AC|#FFEFEF,642
118,#7C99AC,#D3DEDC|#92A9BD|#7C99AC|#FFEFEF,642
119,#FFEFEF,#D3DEDC|#92A9BD|#7C99AC|#FFEFEF,642
120,#362222,#362222|#B3541E|#FFCCD2|#FFEDED,261
121,#B3541E,#362222|#B3541E|#FFCCD2|#FFEDED,261
122,#FFCCD2,#362222|#B3541E|#FFCCD2|#FFEDED,261
123,#FFEDED,#362222|#B3541E|#FFCCD2|#FFEDED,261
124,#876445,#876445|#CA965C|#EEC373|#F4DFBA,692
125,#CA965C,#876445|#CA965C|#EEC373|#F4DFBA,692
126,#EEC373,#876445|#CA965C|#EEC373|#F4DFBA,692
127,#F4DFBA,#876445|#CA965C|#EEC373|#F4DFBA,692
128,#781C68,#781C68|#9A0680|#FFD39A|#FFF5E1,302
129,#9A0680,#781C68|#9A0680|#FFD39A|#FFF5E1,302
130,#FFD39A,#781C68|#9A0680|#FFD39A|#FFF5E1,302
131,#FFF5E1,#781C68|#9A0680|#FFD39A|#FFF5E1,302
132,#FFF89A,#FFF89A|#FFC900|#086E7D|#1A5F7A,448
133,#FFC900,#FFF89A|#FFC900|#086E7D|#1A5F7A,448
134,#086E7D,#FFF89A|#FFC900|#086E7D|#1A5F7A,448
135,#1A5F7A,#FFF89A|#FFC900|#086E7D|#1A5F7A,448
136,#FEECE9,#FEECE9|#CCD1E4|#FE7E6D|#2F3A8F,544
137,#CCD1E4,#FEECE9|#CCD1E4|#FE7E6D|#2F3A8F,544
138,#FE7E6D,#FEECE9|#CCD1E4|#FE7E6D|#2F3A8F,544
139,#2F3A8F,#FEECE9|#CCD1E4|#FE7E6D|#2F3A8F,544
140,#0F0E0E,#0F0E0E|#541212|#8B9A46|#EEEEEE,341
141,#541212,#0F0E0E|#541212|#8B9A46|#EEEEEE,341
142,#8B9A46,#0F0E0E|#541212|#8B9A46|#EEEEEE,341
143,#EEEEEE,#0F0E0E|#541212|#8B9A46|#EEEEEE,341
144,#F9D371,#F9D371|#F47340|#EF2F88|#8843F2,463
145,#F47340,#F9D371|#F47340|#EF2F88|#8843F2,463
146,#EF2F88,#F9D371|#F47340|#EF2F88|#8843F2,463
147,#8843F2,#F9D371|#F47340|#EF2F88|#8843F2,463
148,#D77FA1,#D77FA1|#BAABDA|#D6E5FA|#FFF9F9,826
149,#BAABDA,#D77FA1|#BAABDA|#D6E5FA|#FFF9F9,826
150,#D6E5FA,#D77FA1|#BAABDA|#D6E5FA|#FFF9F9,826
151,#FFF9F9,#D77FA1|#BAABDA|#D6E5FA|#FFF9F9,826
152,#FFF8F3,#FFF8F3|#A3E4DB|#1C6DD0|#FED1EF,576
153,#A3E4DB,#FFF8F3|#A3E4DB|#1C6DD0|#FED1EF,576
154,#1C6DD0,#FFF8F3|#A3E4DB|#1C6DD0|#FED1EF,576
155,#FED1EF,#FFF8F3|#A3E4DB|#1C6DD0|#FED1EF,576
156,#7900FF,#7900FF|#548CFF|#93FFD8|#CFFFDC,627
157,#548CFF,#7900FF|#548CFF|#93FFD8|#CFFFDC,627
158,#93FFD8,#7900FF|#548CFF|#93FFD8|#CFFFDC,627
159,#CFFFDC,#7900FF|#548CFF|#93FFD8|#CFFFDC,627
160,#EA5C2B,#EA5C2B|#FF7F3F|#F6D860|#95CD41,463
161,#FF7F3F,#EA5C2B|#FF7F3F|#F6D860|#95CD41,463
162,#F6D860,#EA5C2B|#FF7F3F|#F6D860|#95CD41,463
163,#95CD41,#EA5C2B|#FF7F3F|#F6D860|#95CD41,463
164,#F3C892,#F3C892|#FFF1BD|#A3DA8D|#146356,708
165,#FFF1BD,#F3C892|#FFF1BD|#A3DA8D|#146356,708
166,#A3DA8D,#F3C892|#FFF1BD|#A3DA8D|#146356,708
167,#146356,#F3C892|#FFF1BD|#A3DA8D|#146356,708
168,#FF5959,#FF5959|#676FA3|#CDDEFF|#EEF2FF,685
169,#676FA3,#FF5959|#676FA3|#CDDEFF|#EEF2FF,685
170,#CDDEFF,#FF5959|#676FA3|#CDDEFF|#EEF2FF,685
171,#EEF2FF,#FF5959|#676FA3|#CDDEFF|#EEF2FF,685
172,#DB6B97,#DB6B97|#F2FFE9|#A6CF98|#557C55,733
173,#F2FFE9,#DB6B97|#F2FFE9|#A6CF98|#557C55,733
174,#A6CF98,#DB6B97|#F2FFE9|#A6CF98|#557C55,733
175,#557C55,#DB6B97|#F2FFE9|#A6CF98|#557C55,733
176,#FFBD35,#FFBD35|#3FA796|#8267BE|#502064,552
177,#3FA796,#FFBD35|#3FA796|#8267BE|#502064,552
178,#8267BE,#FFBD35|#3FA796|#8267BE|#502064,552
179,#502064,#FFBD35|#3FA796|#8267BE|#502064,552
180,#370665,#370665|#35589A|#F14A16|#FC9918,532
181,#35589A,#370665|#35589A|#F14A16|#FC9918,532
182,#F14A16,#370665|#35589A|#F14A16|#FC9918,532
183,#FC9918,#370665|#35589A|#F14A16|#FC9918,532
184,#000B49,#000B49|#9B0000|#FF7272|#FFB5B5,649
185,#9B0000,#000B49|#9B0000|#FF7272|#FFB5B5,649
186,#FF7272,#000B49|#9B0000|#FF7272|#FFB5B5,649
187,#FFB5B5,#000B49|#9B0000|#FF7272|#FFB5B5,649
188,#F0ECE3,#F0ECE3|#DFD3C3|#C7B198|#A68DAD,1082
189,#DFD3C3,#F0ECE3|#DFD3C3|#C7B198|#A68DAD,1082
190,#C7B198,#F0ECE3|#DFD3C3|#C7B198|#A68DAD,1082
191,#A68DAD,#F0ECE3|#DFD3C3|#C7B198|#A68DAD,1082
192,#F5F5F5,#F5F5F5|#F05454|#30475E|#121212,882
